Item,Quantity,Cost,Source
Seeed Studio XIAO nRF52840 Plus,2,20.80,https://www.seeedstudio.com/Seeed-Studio-XIAO-nRF52840-Plus-p-6359.html
Akko V3 Pro Lavender key switches,2,30.66,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.8a1dXYQpXYQpoB&productIds=1005007666734237%3A12000041752568184&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007666734237%7C_p_origin_prod%3A&pvid=16401320-e100-46fd-9451-55716b3e3213&_gl=1*qfahkk*_gcl_au*OTA5OTMxNDQ1LjE3NzczMzkxNjI.*_ga*MTcxNjY4NTYwMzQxODUuMTc3NzMzOTE1OTMzOQ..*_ga_VED1YSGNC7*czE3Nzc3NDcxOTckbzQkZzEkdDE3Nzc3NDc0MDQkajYwJGwwJGgw
YMDK ZDA black keycaps,1,16.94,https://www.aliexpress.us/item/3256808606272435.html?spm=a2g0o.productlist.main.2.559368afxvvDRE&algo_pvid=be438f86-bbf9-41a8-9036-e1f76fb050b9&algo_exp_id=be438f86-bbf9-41a8-9036-e1f76fb050b9-1&pdp_ext_f=%7B%22order%22%3A%22360%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2125.64%2116.94%21%21%2125.64%2116.94%21%402101eee917777475325795902ef308%2112000046680586806%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7e394ebc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537380&curPageLogUid=46jL7OyEjN3m&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008792587187%7C_p_origin_prod%3A
EC11 rotary encoders,1,3.08,https://www.aliexpress.us/item/3256807457610925.html?spm=a2g0o.productlist.main.11.1a7a3a52762UqH&algo_pvid=92408ecb-c68b-4c06-bbd7-933c560c669f&algo_exp_id=92408ecb-c68b-4c06-bbd7-933c560c669f-10&pdp_ext_f=%7B%22order%22%3A%22306%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.05%210.99%21%21%213.05%210.99%21%402103128817777477285447626eb976%2112000041629865923%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7e394ebc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537378&curPageLogUid=Gnz1vOJZ5LKS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643925677%7C_p_origin_prod%3A
SSD1306 OLED displays,1,3.50,https://www.aliexpress.us/item/3256806882812437.html?spm=a2g0o.productlist.main.12.eaf7xkmuxkmuyu&aem_p4p_detail=202605021150319941447284803840003421400&algo_pvid=a7d109fa-8753-49ed-9ee5-6269bcef89e7&algo_exp_id=a7d109fa-8753-49ed-9ee5-6269bcef89e7-11&pdp_ext_f=%7B%22order%22%3A%22231%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.50%210.99%21%21%2123.76%216.71%21%40210328d417777478315891457e3f77%2112000039302444378%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7e394ebc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537378&curPageLogUid=kfCFOX5XGs2T&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007069127189%7C_p_origin_prod%3A&search_p4p_id=202605021150319941447284803840003421400_3
LiPo batteries,1,5.02,https://www.aliexpress.us/item/3256811857707355.html?spm=a2g0o.productlist.seoads.3.456b4Og94Og9yr&p4p_pvid=202605021152471438651116653440005803865_2&_gl=1*1o3g1tt*_gcl_au*OTA5OTMxNDQ1LjE3NzczMzkxNjI.*_ga*MTcxNjY4NTYwMzQxODUuMTc3NzMzOTE1OTMzOQ..*_ga_VED1YSGNC7*czE3Nzc3NDcxOTckbzQkZzEkdDE3Nzc3NDc5NjgkajQ2JGwwJGgw&gatewayAdapt=glo2usa4itemAdapt
JST connectors,1,2.79,https://www.aliexpress.us/item/3256801462843682.html?spm=a2g0o.productlist.main.2.4d363896a8Ljc7&algo_pvid=d87fb88e-cb9d-45e2-af7d-d1767d5bd963&algo_exp_id=d87fb88e-cb9d-45e2-af7d-d1767d5bd963-1&pdp_ext_f=%7B%22order%22%3A%2217874%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.07%210.99%21%21%212.07%210.99%21%402101e80317777480847362566e5f5f%2112000016976908168%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A7e394ebc%3Bm03_new_user%3A-29894%3BpisId%3A5000000203531336&curPageLogUid=LgkQ6isYab0G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001649158434%7C_p_origin_prod%3A
M3 inserts,1,0.73,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.19.5741GIIvGIIvOR&productIds=1005006967339727%3A12000038886016094&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006967339727%7C_p_origin_prod%3A1005006472702418&pvid=82723a9f-b0cf-48ed-baea-33ebdaed60dd&_gl=1*1pt504n*_gcl_au*OTA5OTMxNDQ1LjE3NzczMzkxNjI.*_ga*MTcxNjY4NTYwMzQxODUuMTc3NzMzOTE1OTMzOQ..*_ga_VED1YSGNC7*czE3Nzc3NDcxOTckbzQkZzEkdDE3Nzc3NDgxODUkajI5JGwwJGgw
M3x16 screws,1,2.92,https://www.aliexpress.us/item/3256808523663879.html?spm=a2g0o.productlist.main.8.1d9748abUOXQOY&aem_p4p_detail=202605021157454379770303191570003438720&algo_pvid=7d6700f1-e58f-480a-beca-dca4aa50249d&algo_exp_id=7d6700f1-e58f-480a-beca-dca4aa50249d-7&pdp_ext_f=%7B%22order%22%3A%2210955%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.65%210.99%21%21%2111.22%216.70%21%402101c59117777482655617764e6a55%2112000046342342830%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A7e394ebc%3Bm03_new_user%3A-29894%3BpisId%3A5000000203531336&curPageLogUid=TUfYajctXH1A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008709978631%7C_p_origin_prod%3A&search_p4p_id=202605021157454379770303191570003438720_2
M3x6 screws,1,2.14,https://www.aliexpress.us/item/3256808523663879.html?spm=a2g0o.productlist.main.8.1d9748abUOXQOY&aem_p4p_detail=202605021157454379770303191570003438720&algo_pvid=7d6700f1-e58f-480a-beca-dca4aa50249d&algo_exp_id=7d6700f1-e58f-480a-beca-dca4aa50249d-7&pdp_ext_f=%7B%22order%22%3A%2210955%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.65%210.99%21%21%2111.22%216.70%21%402101c59117777482655617764e6a55%2112000046342342830%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A7e394ebc%3Bm03_new_user%3A-29894%3BpisId%3A5000000203531336&curPageLogUid=TUfYajctXH1A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008709978631%7C_p_origin_prod%3A&search_p4p_id=202605021157454379770303191570003438720_2
